I, O, R, C, P, Q, solver, actual
64, 64, 64, 64, 3, 3, 905282.55596, 946320.0
64, 65, 64, 64, 3, 3, 906819.75762, 5408208.0
64, 66, 64, 64, 3, 3, 908408.3045, 944216.0
64, 67, 64, 64, 3, 3, 910046.91077, 5849904.0
64, 68, 64, 64, 3, 3, 911734.34475, 946448.0
64, 69, 64, 64, 3, 3, 913469.47852, 982652.0
64, 70, 64, 64, 3, 3, 915251.17595, 1416288.0
64, 71, 64, 64, 3, 3, 917078.39701, 6199152.0
64, 72, 64, 64, 3, 3, 918950.14039, 999712.0
64, 73, 64, 64, 3, 3, 920865.44985, 6373776.0
64, 74, 64, 64, 3, 3, 922823.418, 1496048.0
64, 75, 64, 64, 3, 3, 924823.17029, 1065428.0
64, 76, 64, 64, 3, 3, 926863.87592, 1034704.0
64, 77, 64, 64, 3, 3, 928944.73884, 6440544.0
64, 78, 64, 64, 3, 3, 931064.99675, 1106816.0
64, 79, 64, 64, 3, 3, 933223.92044, 6897648.0
64, 80, 64, 64, 3, 3, 935420.8093, 1034960.0
64, 81, 64, 64, 3, 3, 937654.99226, 1148204.0
64, 82, 64, 64, 3, 3, 939925.82513, 1655568.0
64, 83, 64, 64, 3, 3, 942232.68882, 7246896.0
