I, O, R, C, P, Q, solver, actual
64, 64, 64, 64, 3, 3, 289856.95015, 324640.0
64, 65, 64, 64, 3, 3, 290988.06283, 453600.0
64, 66, 64, 64, 3, 3, 292109.41037, 328320.0
64, 67, 64, 64, 3, 3, 293221.22369, 5548806.0
64, 68, 64, 64, 3, 3, 294323.72508, 343136.0
64, 69, 64, 64, 3, 3, 295417.12812, 329280.0
64, 70, 64, 64, 3, 3, 296501.64074, 352384.0
64, 71, 64, 64, 3, 3, 297577.46026, 5880078.0
64, 72, 64, 64, 3, 3, 298644.77914, 329856.0
64, 73, 64, 64, 3, 3, 299703.78257, 6045714.0
64, 74, 64, 64, 3, 3, 300754.64941, 370880.0
64, 75, 64, 64, 3, 3, 301797.55234, 329904.0
64, 76, 64, 64, 3, 3, 302832.65854, 377536.0
64, 77, 64, 64, 3, 3, 303860.12923, 617666.0
64, 78, 64, 64, 3, 3, 304880.12063, 329952.0
64, 79, 64, 64, 3, 3, 305892.78384, 6542622.0
64, 80, 64, 64, 3, 3, 306898.26515, 391680.0
64, 81, 64, 64, 3, 3, 307896.70622, 330000.0
64, 82, 64, 64, 3, 3, 308888.2443, 407872.0
64, 83, 64, 64, 3, 3, 309873.01241, 6873894.0
