I, O, R, C, P, Q, solver, actual
64, 64, 64, 64, 3, 3, 1269467.9581, 1344384.0
64, 65, 64, 64, 3, 3, 1279515.7908, 1492679.0
64, 66, 64, 64, 3, 3, 1289399.5478, 1787150.0
64, 67, 64, 64, 3, 3, 1299729.839, 5528756.25
64, 68, 64, 64, 3, 3, 1308965.1546, 1428408.0
64, 69, 64, 64, 3, 3, 1318681.8049, 5684910.0
64, 70, 64, 64, 3, 3, 1328330.853, 1493994.0
64, 71, 64, 64, 3, 3, 1337985.386, 5858831.25
64, 72, 64, 64, 3, 3, 1347501.7668, 1512432.0
64, 73, 64, 64, 3, 3, 1357038.0568, 6023868.75
64, 74, 64, 64, 3, 3, 1366433.3566, 3069594.0
64, 75, 64, 64, 3, 3, 1375676.0616, 1495309.0
64, 76, 64, 64, 3, 3, 1384877.7514, 1596114.0
64, 77, 64, 64, 3, 3, 1394257.6094, 2084251.0
64, 78, 64, 64, 3, 3, 1403243.9858, 1790178.0
64, 79, 64, 64, 3, 3, 1412405.6221, 6518981.25
64, 80, 64, 64, 3, 3, 1421563.3272, 1496624.0
64, 81, 64, 64, 3, 3, 1430372.4524, 2673774.5
64, 82, 64, 64, 3, 3, 1439307.2153, 3401442.0
64, 83, 64, 64, 3, 3, 1448189.5959, 6849056.25
