I, O, R, C, P, Q, solver, actual
64, 64, 64, 64, 3, 3, 322137.5598, 344080.0
64, 64, 65, 64, 3, 3, 325867.50485, 436432.0
64, 64, 66, 64, 3, 3, 329612.25634, 342144.0
64, 64, 67, 64, 3, 3, 333367.76844, 508128.0
64, 64, 68, 64, 3, 3, 337114.27661, 365568.0
64, 64, 69, 64, 3, 3, 340849.66638, 357696.0
64, 64, 70, 64, 3, 3, 344574.16556, 376320.0
64, 64, 71, 64, 3, 3, 348287.9739, 870744.0
64, 64, 72, 64, 3, 3, 351991.29892, 384776.0
64, 64, 73, 64, 3, 3, 355684.33157, 2865980.0
64, 64, 74, 64, 3, 3, 359367.28068, 394376.0
64, 64, 75, 64, 3, 3, 363040.31236, 438352.0
64, 64, 76, 64, 3, 3, 366703.613, 389768.0
64, 64, 77, 64, 3, 3, 370357.35393, 544704.0
64, 64, 78, 64, 3, 3, 374001.70379, 404352.0
64, 64, 79, 64, 3, 3, 377636.82579, 11221594.5
64, 64, 80, 64, 3, 3, 381262.87745, 394760.0
64, 64, 81, 64, 3, 3, 384880.01228, 463116.0
64, 64, 82, 64, 3, 3, 388488.37918, 425088.0
64, 64, 83, 64, 3, 3, 392088.12273, 11789776.5
