dim,theoretical_cycles,lowerb_cycles,actual_cycles,is_lower
256,22_469_486,56_742_912,75_539_968,True
258,22_645_029,57_185_280,63_535_104,True
260,22_820_571,57_627_648,61_443_200,True
262,22_996_114,58_070_016,77_309_536,True
264,23_171_657,58_512_384,58_512_384,True
266,23_347_200,58_954_752,78_489_248,True
268,23_522_743,59_397_120,79_079_104,True
270,23_698_286,59_839_488,63_840_384,True
272,23_873_829,60_281_856,80_258_816,True
274,24_049_371,60_724_224,80_848_672,True
276,24_224_914,61_166_592,61_166_592,True
278,24_400_457,61_608_960,82_028_384,True
280,24_576_000,62_051_328,66_161_920,True
282,24_751_543,62_493_696,69_433_344,True
284,24_927_086,62_936_064,83_797_952,True
286,25_102_629,63_378_432,84_387_808,True
288,25_278_171,63_820_800,63_820_800,True
290,25_453_714,64_263_168,68_589_120,True
292,25_629_257,64_705_536,86_157_376,True
294,25_804_800,65_147_904,72_382_464,True
296,25_980_343,65_590_272,87_337_088,True
298,26_155_886,66_032_640,87_926_944,True
300,26_331_429,66_475_008,66_475_008,True
302,26_506_971,66_917_376,89_106_656,True
304,26_682_514,67_359_744,89_696_512,True
