I, O, R, C, P, Q, solver, actual
64, 64, 64, 64, 3, 3, 1002110.0, 1075008.0
64, 64, 65, 64, 3, 3, 1015980.0, 1057980.0
64, 64, 66, 64, 3, 3, 1029830.0, 1048824.0
64, 64, 67, 64, 3, 3, 1043660.0, 35010649.0
64, 64, 68, 64, 3, 3, 1057470.0, 1134816.0
64, 64, 69, 64, 3, 3, 1071270.0, 1120248.0
64, 64, 70, 64, 3, 3, 1085060.0, 1128640.0
64, 64, 71, 64, 3, 3, 1098840.0, 37100837.0
64, 64, 72, 64, 3, 3, 1112590.0, 1129680.0
64, 64, 73, 64, 3, 3, 1126320.0, 38145931.0
64, 64, 74, 64, 3, 3, 1140030.0, 1465552.0
64, 64, 75, 64, 3, 3, 1153720.0, 1199300.0
64, 64, 76, 64, 3, 3, 1167420.0, 1254432.0
64, 64, 77, 64, 3, 3, 1181100.0, 1238412.0
64, 64, 78, 64, 3, 3, 1194770.0, 1210536.0
64, 64, 79, 64, 3, 3, 1208420.0, 81320822.5
64, 64, 80, 64, 3, 3, 1222030.0, 1269960.0
64, 64, 81, 64, 3, 3, 1235650.0, 1276776.0
64, 64, 82, 64, 3, 3, 1249270.0, 1613776.0
64, 64, 83, 64, 3, 3, 1262870.0, 85438332.5
64, 64, 84, 64, 3, 3, 1276440.0, 1291392.0
64, 64, 85, 64, 3, 3, 1290010.0, 1347612.0
64, 64, 86, 64, 3, 3, 1303590.0, 1687888.0
64, 64, 87, 64, 3, 3, 1317120.0, 1389384.0
64, 64, 88, 64, 3, 3, 1330670.0, 1398432.0
64, 64, 89, 64, 3, 3, 1344190.0, 91614597.5
64, 64, 90, 64, 3, 3, 1357680.0, 1372248.0
64, 64, 91, 64, 3, 3, 1371190.0, 1429764.0
64, 64, 92, 64, 3, 3, 1384670.0, 1493664.0
64, 64, 93, 64, 3, 3, 1398150.0, 1479096.0
64, 64, 94, 64, 3, 3, 1411630.0, 1838080.0
64, 64, 95, 64, 3, 3, 1425070.0, 1505188.0
64, 64, 96, 64, 3, 3, 1438520.0, 1453104.0
64, 64, 97, 64, 3, 3, 1452040.0, 100467459.0
64, 64, 98, 64, 3, 3, 1465410.0, 1525440.0
64, 64, 99, 64, 3, 3, 1478790.0, 1509336.0
64, 64, 100, 64, 3, 3, 1492210.0, 1582336.0
64, 64, 101, 64, 3, 3, 1505600.0, 104610447.0
64, 64, 102, 64, 3, 3, 1518970.0, 1533960.0
64, 64, 103, 64, 3, 3, 1532350.0, 106681941.0
64, 64, 104, 64, 3, 3, 1545720.0, 1614048.0
64, 64, 105, 64, 3, 3, 1559070.0, 1621116.0
64, 64, 106, 64, 3, 3, 1572420.0, 2072224.0
64, 64, 107, 64, 3, 3, 1585770.0, 110824929.0
64, 64, 108, 64, 3, 3, 1599080.0, 1614816.0
64, 64, 109, 64, 3, 3, 1612400.0, 112896423.0
64, 64, 110, 64, 3, 3, 1625720.0, 1698312.0
64, 64, 111, 64, 3, 3, 1639030.0, 1748232.0
64, 64, 112, 64, 3, 3, 1652330.0, 1716792.0
64, 64, 113, 64, 3, 3, 1665600.0, 231588697.5
64, 64, 114, 64, 3, 3, 1678890.0, 1695672.0
64, 64, 115, 64, 3, 3, 1692150.0, 1820340.0
64, 64, 116, 64, 3, 3, 1705420.0, 1852512.0
64, 64, 117, 64, 3, 3, 1718660.0, 1741896.0
64, 64, 118, 64, 3, 3, 1731920.0, 2306368.0
64, 64, 119, 64, 3, 3, 1750990.0, 1812468.0
64, 64, 120, 64, 3, 3, 1758380.0, 1776528.0
64, 64, 121, 64, 3, 3, 1771630.0, 1840542.0
64, 64, 122, 64, 3, 3, 1784820.0, 2384416.0
64, 64, 123, 64, 3, 3, 1798030.0, 1927656.0
64, 64, 124, 64, 3, 3, 1811220.0, 1972128.0
64, 64, 125, 64, 3, 3, 1824410.0, 1977916.0
64, 64, 126, 64, 3, 3, 1837590.0, 1857384.0
64, 64, 127, 64, 3, 3, 1850770.0, 260281102.5
64, 64, 128, 64, 3, 3, 1863940.0, 1937472.0
64, 64, 129, 64, 3, 3, 1877130.0, 2017368.0
64, 64, 130, 64, 3, 3, 1890300.0, 2007096.0
64, 64, 131, 64, 3, 3, 1903420.0, 268478932.5
64, 64, 132, 64, 3, 3, 1916590.0, 1938240.0
64, 64, 133, 64, 3, 3, 1929690.0, 2003820.0
64, 64, 134, 64, 3, 3, 1942820.0, 2618560.0
64, 64, 135, 64, 3, 3, 1955940.0, 1974456.0
64, 64, 136, 64, 3, 3, 1969080.0, 2045280.0
64, 64, 137, 64, 3, 3, 1982160.0, 280775677.5
64, 64, 138, 64, 3, 3, 1995270.0, 2019096.0
64, 64, 139, 64, 3, 3, 2008420.0, 284874592.5
64, 64, 140, 64, 3, 3, 2021460.0, 2099496.0
64, 64, 141, 64, 3, 3, 2034550.0, 2196792.0
64, 64, 142, 64, 3, 3, 2047620.0, 2774656.0
64, 64, 143, 64, 3, 3, 2060690.0, 2125002.0
64, 64, 144, 64, 3, 3, 2073750.0, 2090736.0
64, 64, 145, 64, 3, 3, 2086810.0, 2293068.0
64, 64, 146, 64, 3, 3, 2099860.0, 2852704.0
64, 64, 147, 64, 3, 3, 2112920.0, 2195172.0
64, 64, 148, 64, 3, 3, 2125950.0, 2330976.0
64, 64, 149, 64, 3, 3, 2138990.0, 607465959.75
64, 64, 150, 64, 3, 3, 2152020.0, 2180808.0
64, 64, 151, 64, 3, 3, 2165040.0, 615619865.25
64, 64, 152, 64, 3, 3, 2178060.0, 2260896.0
64, 64, 153, 64, 3, 3, 2191070.0, 2207016.0
64, 64, 154, 64, 3, 3, 2204080.0, 2267232.0
64, 64, 155, 64, 3, 3, 2217090.0, 2450644.0
64, 64, 156, 64, 3, 3, 2230080.0, 2261664.0
64, 64, 157, 64, 3, 3, 2243200.0, 640081581.75
64, 64, 158, 64, 3, 3, 2256060.0, 3086848.0
64, 64, 159, 64, 3, 3, 2269060.0, 2465928.0
64, 64, 160, 64, 3, 3, 2282040.0, 2368704.0
64, 64, 161, 64, 3, 3, 2295000.0, 2386524.0
64, 64, 162, 64, 3, 3, 2307950.0, 2323296.0
64, 64, 163, 64, 3, 3, 2320910.0, 664543298.25
64, 64, 164, 64, 3, 3, 2333860.0, 2570208.0
