I, O, R, C, P, Q, solver, actual
64, 64, 64, 64, 3, 3, 1267470.0, 1344384.0
64, 65, 64, 64, 3, 3, 1277490.0, 1492679.0
64, 66, 64, 64, 3, 3, 1287430.0, 1787150.0
64, 67, 64, 64, 3, 3, 1297300.0, 5528756.25
64, 68, 64, 64, 3, 3, 1307110.0, 1428408.0
64, 69, 64, 64, 3, 3, 1316840.0, 5684910.0
64, 70, 64, 64, 3, 3, 1326500.0, 1493994.0
64, 71, 64, 64, 3, 3, 1336090.0, 5858831.25
64, 72, 64, 64, 3, 3, 1345620.0, 1512432.0
64, 73, 64, 64, 3, 3, 1355090.0, 6023868.75
64, 74, 64, 64, 3, 3, 1364500.0, 3069594.0
64, 75, 64, 64, 3, 3, 1373850.0, 1495309.0
64, 76, 64, 64, 3, 3, 1383130.0, 1596114.0
64, 77, 64, 64, 3, 3, 1392340.0, 2084251.0
64, 78, 64, 64, 3, 3, 1401510.0, 1790178.0
64, 79, 64, 64, 3, 3, 1410630.0, 6518981.25
64, 80, 64, 64, 3, 3, 1419680.0, 1496624.0
64, 81, 64, 64, 3, 3, 1428680.0, 2673774.5
64, 82, 64, 64, 3, 3, 1437630.0, 3401442.0
64, 83, 64, 64, 3, 3, 1446510.0, 6849056.25
64, 84, 64, 64, 3, 3, 1455370.0, 1764126.0
64, 85, 64, 64, 3, 3, 1464150.0, 1497939.0
64, 86, 64, 64, 3, 3, 1473060.0, 3567366.0
64, 87, 64, 64, 3, 3, 1481590.0, 7159317.0
64, 88, 64, 64, 3, 3, 1490240.0, 1848132.0
64, 89, 64, 64, 3, 3, 1498830.0, 7344168.75
64, 90, 64, 64, 3, 3, 1507430.0, 1520460.0
64, 91, 64, 64, 3, 3, 1515910.0, 2087677.0
64, 92, 64, 64, 3, 3, 1524350.0, 1932138.0
64, 93, 64, 64, 3, 3, 1532770.0, 7653063.0
64, 94, 64, 64, 3, 3, 1541150.0, 3899214.0
64, 95, 64, 64, 3, 3, 1549470.0, 1604502.5
64, 96, 64, 64, 3, 3, 1557770.0, 1794720.0
64, 97, 64, 64, 3, 3, 1566030.0, 8004209.625
64, 98, 64, 64, 3, 3, 1574220.0, 2089390.0
64, 99, 64, 64, 3, 3, 1582380.0, 2677667.5
64, 100, 64, 64, 3, 3, 1590500.0, 1688950.0
64, 101, 64, 64, 3, 3, 1598620.0, 8334280.125
64, 102, 64, 64, 3, 3, 1606680.0, 1796234.0
64, 103, 64, 64, 3, 3, 1614680.0, 8499315.375
64, 104, 64, 64, 3, 3, 1622630.0, 2184156.0
64, 105, 64, 64, 3, 3, 1630580.0, 1773397.5
64, 106, 64, 64, 3, 3, 1638470.0, 4396747.5
64, 107, 64, 64, 3, 3, 1646340.0, 8829385.875
64, 108, 64, 64, 3, 3, 1654160.0, 1797748.0
64, 109, 64, 64, 3, 3, 1661960.0, 8994421.125
64, 110, 64, 64, 3, 3, 1669720.0, 1857845.0
64, 111, 64, 64, 3, 3, 1677450.0, 9134301.0
64, 112, 64, 64, 3, 3, 1685150.0, 2092816.0
64, 113, 64, 64, 3, 3, 1692800.0, 9324491.625
64, 114, 64, 64, 3, 3, 1700440.0, 1799260.0
64, 115, 64, 64, 3, 3, 1708050.0, 1942292.5
64, 116, 64, 64, 3, 3, 1715590.0, 2431476.0
64, 117, 64, 64, 3, 3, 1723130.0, 2681560.5
64, 118, 64, 64, 3, 3, 1730630.0, 4890008.5
64, 119, 64, 64, 3, 3, 1738100.0, 2094482.0
64, 120, 64, 64, 3, 3, 1745550.0, 1800720.0
64, 121, 64, 64, 3, 3, 1752960.0, 3271858.5
64, 122, 64, 64, 3, 3, 1760340.0, 5055771.5
64, 123, 64, 64, 3, 3, 1767730.0, 10121793.0
64, 124, 64, 64, 3, 3, 1775020.0, 2599164.0
64, 125, 64, 64, 3, 3, 1782340.0, 2111187.5
64, 126, 64, 64, 3, 3, 1789600.0, 1802180.0
64, 127, 64, 64, 3, 3, 1796850.0, 10479738.375
64, 128, 64, 64, 3, 3, 1804080.0, 2389312.0
64, 129, 64, 64, 3, 3, 1811240.0, 10615539.0
64, 130, 64, 64, 3, 3, 1818420.0, 2195635.0
64, 131, 64, 64, 3, 3, 1825530.0, 10809808.875
64, 132, 64, 64, 3, 3, 1832650.0, 1867558.0
64, 133, 64, 64, 3, 3, 1839740.0, 2097782.0
64, 134, 64, 64, 3, 3, 1846850.0, 5552759.0
64, 135, 64, 64, 3, 3, 1853820.0, 2280082.5
64, 136, 64, 64, 3, 3, 1860820.0, 2391060.0
64, 137, 64, 64, 3, 3, 1867820.0, 11304914.625
64, 138, 64, 64, 3, 3, 1874780.0, 1952447.0
64, 139, 64, 64, 3, 3, 1881710.0, 11469949.875
64, 140, 64, 64, 3, 3, 1888610.0, 2099432.0
64, 141, 64, 64, 3, 3, 1895540.0, 11603031.0
64, 142, 64, 64, 3, 3, 1902370.0, 5884267.0
64, 143, 64, 64, 3, 3, 1909230.0, 3276545.5
64, 144, 64, 64, 3, 3, 1916060.0, 2037336.0
64, 145, 64, 64, 3, 3, 1922830.0, 2448977.5
64, 146, 64, 64, 3, 3, 1929600.0, 6050021.0
64, 147, 64, 64, 3, 3, 1936350.0, 2101082.0
64, 148, 64, 64, 3, 3, 1943080.0, 3102228.0
64, 149, 64, 64, 3, 3, 1949810.0, 12295126.125
64, 150, 64, 64, 3, 3, 1956480.0, 2122225.0
64, 151, 64, 64, 3, 3, 1963140.0, 12460161.375
64, 152, 64, 64, 3, 3, 1969790.0, 2394556.0
64, 153, 64, 64, 3, 3, 1976410.0, 2689346.5
64, 154, 64, 64, 3, 3, 1983040.0, 2102732.0
64, 155, 64, 64, 3, 3, 1989600.0, 2617872.5
64, 156, 64, 64, 3, 3, 1996180.0, 2207114.0
64, 157, 64, 64, 3, 3, 2002730.0, 12955267.125
64, 158, 64, 64, 3, 3, 2009270.0, 6547283.0
64, 159, 64, 64, 3, 3, 2015750.0, 13084149.75
64, 160, 64, 64, 3, 3, 2022210.0, 2396304.0
64, 161, 64, 64, 3, 3, 2028700.0, 2104382.0
64, 162, 64, 64, 3, 3, 2035140.0, 2292003.0
64, 163, 64, 64, 3, 3, 2041550.0, 13450372.875
64, 164, 64, 64, 3, 3, 2047980.0, 3437604.0
