I, O, R, C, P, Q, solver, actual
64, 64, 64, 64, 3, 3, 391701.0, 427008.0
64, 64, 64, 65, 3, 3, 395513.0, 433680.0
64, 64, 64, 66, 3, 3, 399306.0, 440352.0
64, 64, 64, 67, 3, 3, 403078.0, 447024.0
64, 64, 64, 68, 3, 3, 406828.0, 453696.0
64, 64, 64, 69, 3, 3, 410570.0, 460368.0
64, 64, 64, 70, 3, 3, 414330.0, 467040.0
64, 64, 64, 71, 3, 3, 418041.0, 473712.0
64, 64, 64, 72, 3, 3, 421710.0, 480384.0
64, 64, 64, 73, 3, 3, 425392.0, 487056.0
64, 64, 64, 74, 3, 3, 429063.0, 493728.0
64, 64, 64, 75, 3, 3, 432750.0, 500400.0
64, 64, 64, 76, 3, 3, 436373.0, 507072.0
64, 64, 64, 77, 3, 3, 440008.0, 513744.0
64, 64, 64, 78, 3, 3, 443637.0, 520416.0
64, 64, 64, 79, 3, 3, 447215.0, 527088.0
64, 64, 64, 80, 3, 3, 450805.0, 533760.0
64, 64, 64, 81, 3, 3, 454419.0, 540432.0
64, 64, 64, 82, 3, 3, 457971.0, 547104.0
64, 64, 64, 83, 3, 3, 461531.0, 553776.0
64, 64, 64, 84, 3, 3, 465076.0, 560448.0
64, 64, 64, 85, 3, 3, 468594.0, 567120.0
64, 64, 64, 86, 3, 3, 472109.0, 573792.0
64, 64, 64, 87, 3, 3, 475622.0, 580464.0
64, 64, 64, 88, 3, 3, 479145.0, 587136.0
64, 64, 64, 89, 3, 3, 482622.0, 593808.0
64, 64, 64, 90, 3, 3, 486127.0, 600480.0
64, 64, 64, 91, 3, 3, 489571.0, 607152.0
64, 64, 64, 92, 3, 3, 493079.0, 611968.0
64, 64, 64, 93, 3, 3, 496497.0, 620496.0
64, 64, 64, 94, 3, 3, 499939.0, 612448.0
64, 64, 64, 95, 3, 3, 503378.0, 633840.0
64, 64, 64, 96, 3, 3, 506822.0, 612928.0
64, 64, 64, 97, 3, 3, 510209.0, 647184.0
64, 64, 64, 98, 3, 3, 513615.0, 625632.0
64, 64, 64, 99, 3, 3, 517013.0, 660528.0
64, 64, 64, 100, 3, 3, 520400.0, 628256.0
64, 64, 64, 101, 3, 3, 523783.0, 673872.0
64, 64, 64, 102, 3, 3, 527159.0, 629024.0
64, 64, 64, 103, 3, 3, 530523.0, 687216.0
64, 64, 64, 104, 3, 3, 533876.0, 629792.0
64, 64, 64, 105, 3, 3, 537225.0, 700560.0
64, 64, 64, 106, 3, 3, 540567.0, 630560.0
64, 64, 64, 107, 3, 3, 543894.0, 713904.0
64, 64, 64, 108, 3, 3, 547233.0, 631328.0
64, 64, 64, 109, 3, 3, 550549.0, 727248.0
64, 64, 64, 110, 3, 3, 553850.0, 632096.0
64, 64, 64, 111, 3, 3, 557168.0, 740592.0
64, 64, 64, 112, 3, 3, 560492.0, 632864.0
64, 64, 64, 113, 3, 3, 563746.0, 753936.0
64, 64, 64, 114, 3, 3, 567028.0, 633632.0
64, 64, 64, 115, 3, 3, 570311.0, 767280.0
64, 64, 64, 116, 3, 3, 573570.0, 634400.0
64, 64, 64, 117, 3, 3, 576837.0, 780624.0
64, 64, 64, 118, 3, 3, 580089.0, 635168.0
64, 64, 64, 119, 3, 3, 583344.0, 793968.0
64, 64, 64, 120, 3, 3, 586594.0, 635936.0
64, 64, 64, 121, 3, 3, 589826.0, 807312.0
64, 64, 64, 122, 3, 3, 593079.0, 636704.0
64, 64, 64, 123, 3, 3, 596293.0, 820656.0
