I, O, R, C, P, Q, solver, actual
64, 64, 64, 64, 3, 3, 248532.0, 324640.0
64, 65, 64, 64, 3, 3, 249410.0, 453600.0
64, 66, 64, 64, 3, 3, 250311.0, 328320.0
64, 67, 64, 64, 3, 3, 251148.0, 5548806.0
64, 68, 64, 64, 3, 3, 252017.0, 343136.0
64, 69, 64, 64, 3, 3, 252842.0, 329280.0
64, 70, 64, 64, 3, 3, 253678.0, 352384.0
64, 71, 64, 64, 3, 3, 254515.0, 5880078.0
64, 72, 64, 64, 3, 3, 255344.0, 329856.0
64, 73, 64, 64, 3, 3, 256173.0, 6045714.0
64, 74, 64, 64, 3, 3, 256989.0, 370880.0
64, 75, 64, 64, 3, 3, 257803.0, 329904.0
64, 76, 64, 64, 3, 3, 258619.0, 377536.0
64, 77, 64, 64, 3, 3, 259438.0, 617666.0
64, 78, 64, 64, 3, 3, 260196.0, 329952.0
64, 79, 64, 64, 3, 3, 260995.0, 6542622.0
64, 80, 64, 64, 3, 3, 261772.0, 391680.0
64, 81, 64, 64, 3, 3, 262553.0, 330000.0
64, 82, 64, 64, 3, 3, 263353.0, 407872.0
64, 83, 64, 64, 3, 3, 264098.0, 6873894.0
64, 84, 64, 64, 3, 3, 264865.0, 330048.0
64, 85, 64, 64, 3, 3, 265623.0, 456460.0
64, 86, 64, 64, 3, 3, 266390.0, 420736.0
64, 87, 64, 64, 3, 3, 267131.0, 330456.0
64, 88, 64, 64, 3, 3, 267874.0, 393984.0
64, 89, 64, 64, 3, 3, 268641.0, 7370802.0
64, 90, 64, 64, 3, 3, 269372.0, 331152.0
64, 91, 64, 64, 3, 3, 270095.0, 624078.0
64, 92, 64, 64, 3, 3, 270865.0, 395136.0
64, 93, 64, 64, 3, 3, 271580.0, 331848.0
64, 94, 64, 64, 3, 3, 272372.0, 459392.0
64, 95, 64, 64, 3, 3, 273085.0, 461220.0
64, 96, 64, 64, 3, 3, 273884.0, 332576.0
64, 97, 64, 64, 3, 3, 274596.0, 8033346.0
64, 98, 64, 64, 3, 3, 275353.0, 478720.0
64, 99, 64, 64, 3, 3, 276127.0, 342488.0
64, 100, 64, 64, 3, 3, 276880.0, 397440.0
64, 101, 64, 64, 3, 3, 277643.0, 8364618.0
64, 102, 64, 64, 3, 3, 278419.0, 352400.0
64, 103, 64, 64, 3, 3, 279177.0, 8530254.0
64, 104, 64, 64, 3, 3, 279945.0, 398912.0
64, 105, 64, 64, 3, 3, 280721.0, 362312.0
64, 106, 64, 64, 3, 3, 281495.0, 517376.0
64, 107, 64, 64, 3, 3, 282273.0, 8861526.0
64, 108, 64, 64, 3, 3, 283050.0, 372224.0
64, 109, 64, 64, 3, 3, 283832.0, 9027162.0
64, 110, 64, 64, 3, 3, 284605.0, 468360.0
