I, O, R, C, P, Q, solver, actual
64, 64, 64, 64, 3, 3, 248532.0, 324640.0
64, 65, 64, 64, 3, 3, 249409.0, 453600.0
64, 66, 64, 64, 3, 3, 250275.0, 328320.0
64, 67, 64, 64, 3, 3, 251156.0, 5548806.0
64, 68, 64, 64, 3, 3, 251998.0, 343136.0
64, 69, 64, 64, 3, 3, 252839.0, 329280.0
64, 70, 64, 64, 3, 3, 253690.0, 352384.0
64, 71, 64, 64, 3, 3, 254520.0, 5880078.0
64, 72, 64, 64, 3, 3, 255354.0, 329856.0
64, 73, 64, 64, 3, 3, 256173.0, 6045714.0
64, 74, 64, 64, 3, 3, 256992.0, 370880.0
64, 75, 64, 64, 3, 3, 257796.0, 329904.0
64, 76, 64, 64, 3, 3, 258619.0, 377536.0
64, 77, 64, 64, 3, 3, 259423.0, 617666.0
64, 78, 64, 64, 3, 3, 260224.0, 329952.0
64, 79, 64, 64, 3, 3, 260990.0, 6542622.0
64, 80, 64, 64, 3, 3, 261780.0, 391680.0
64, 81, 64, 64, 3, 3, 262556.0, 330000.0
64, 82, 64, 64, 3, 3, 263332.0, 407872.0
64, 83, 64, 64, 3, 3, 264098.0, 6873894.0
64, 84, 64, 64, 3, 3, 264863.0, 330048.0
64, 85, 64, 64, 3, 3, 265624.0, 456460.0
64, 86, 64, 64, 3, 3, 266379.0, 420736.0
64, 87, 64, 64, 3, 3, 267135.0, 330456.0
64, 88, 64, 64, 3, 3, 267888.0, 393984.0
64, 89, 64, 64, 3, 3, 268649.0, 7370802.0
64, 90, 64, 64, 3, 3, 269410.0, 331152.0
64, 91, 64, 64, 3, 3, 270144.0, 624078.0
64, 92, 64, 64, 3, 3, 270842.0, 395136.0
64, 93, 64, 64, 3, 3, 271638.0, 331848.0
64, 94, 64, 64, 3, 3, 272386.0, 459392.0
64, 95, 64, 64, 3, 3, 273082.0, 461220.0
64, 96, 64, 64, 3, 3, 273853.0, 332576.0
64, 97, 64, 64, 3, 3, 274602.0, 8033346.0
64, 98, 64, 64, 3, 3, 275381.0, 478720.0
64, 99, 64, 64, 3, 3, 276111.0, 342488.0
64, 100, 64, 64, 3, 3, 276880.0, 397440.0
64, 101, 64, 64, 3, 3, 277666.0, 8364618.0
64, 102, 64, 64, 3, 3, 278437.0, 352400.0
64, 103, 64, 64, 3, 3, 279180.0, 8530254.0
64, 104, 64, 64, 3, 3, 279946.0, 398912.0
64, 105, 64, 64, 3, 3, 280729.0, 362312.0
64, 106, 64, 64, 3, 3, 281495.0, 517376.0
64, 107, 64, 64, 3, 3, 282277.0, 8861526.0
64, 108, 64, 64, 3, 3, 283046.0, 372224.0
64, 109, 64, 64, 3, 3, 283824.0, 9027162.0
64, 110, 64, 64, 3, 3, 284616.0, 468360.0
64, 111, 64, 64, 3, 3, 285378.0, 382136.0
64, 112, 64, 64, 3, 3, 286160.0, 402816.0
64, 113, 64, 64, 3, 3, 286976.0, 9358434.0
64, 114, 64, 64, 3, 3, 287726.0, 392048.0
64, 115, 64, 64, 3, 3, 288528.0, 470740.0
64, 116, 64, 64, 3, 3, 289298.0, 404768.0
64, 117, 64, 64, 3, 3, 290099.0, 401960.0
64, 118, 64, 64, 3, 3, 290879.0, 575360.0
64, 119, 64, 64, 3, 3, 291690.0, 639044.0
64, 120, 64, 64, 3, 3, 292466.0, 406720.0
64, 121, 64, 64, 3, 3, 293234.0, 963336.0
64, 122, 64, 64, 3, 3, 294017.0, 594688.0
64, 123, 64, 64, 3, 3, 294802.0, 421784.0
64, 124, 64, 64, 3, 3, 295598.0, 408672.0
64, 125, 64, 64, 3, 3, 296383.0, 494828.0
64, 126, 64, 64, 3, 3, 297177.0, 429120.0
64, 127, 64, 64, 3, 3, 297965.0, 10517886.0
64, 128, 64, 64, 3, 3, 298760.0, 410624.0
64, 129, 64, 64, 3, 3, 299552.0, 432928.0
64, 130, 64, 64, 3, 3, 300347.0, 514360.0
64, 131, 64, 64, 3, 3, 301129.0, 10849158.0
64, 132, 64, 64, 3, 3, 301910.0, 412576.0
64, 133, 64, 64, 3, 3, 302702.0, 645708.0
64, 134, 64, 64, 3, 3, 303484.0, 649640.0
64, 135, 64, 64, 3, 3, 304281.0, 452704.0
64, 136, 64, 64, 3, 3, 305062.0, 414528.0
64, 137, 64, 64, 3, 3, 305826.0, 11346066.0
64, 138, 64, 64, 3, 3, 306608.0, 462592.0
64, 139, 64, 64, 3, 3, 307375.0, 11511702.0
64, 140, 64, 64, 3, 3, 308153.0, 416480.0
64, 141, 64, 64, 3, 3, 308921.0, 472480.0
64, 142, 64, 64, 3, 3, 309695.0, 688264.0
64, 143, 64, 64, 3, 3, 310476.0, 980694.0
64, 144, 64, 64, 3, 3, 311242.0, 418432.0
64, 145, 64, 64, 3, 3, 311984.0, 572956.0
64, 146, 64, 64, 3, 3, 312747.0, 707576.0
64, 147, 64, 64, 3, 3, 313515.0, 492256.0
64, 148, 64, 64, 3, 3, 314269.0, 420384.0
64, 149, 64, 64, 3, 3, 315024.0, 12339882.0
64, 150, 64, 64, 3, 3, 315771.0, 502144.0
64, 151, 64, 64, 3, 3, 316524.0, 12505518.0
64, 152, 64, 64, 3, 3, 317274.0, 422336.0
64, 153, 64, 64, 3, 3, 318011.0, 512032.0
64, 154, 64, 64, 3, 3, 318762.0, 655704.0
64, 155, 64, 64, 3, 3, 319507.0, 612020.0
64, 156, 64, 64, 3, 3, 320257.0, 424288.0
64, 157, 64, 64, 3, 3, 320988.0, 13002426.0
64, 158, 64, 64, 3, 3, 321732.0, 765512.0
64, 159, 64, 64, 3, 3, 322471.0, 531808.0
64, 160, 64, 64, 3, 3, 323236.0, 426272.0
64, 161, 64, 64, 3, 3, 323987.0, 659036.0
64, 162, 64, 64, 3, 3, 324684.0, 541696.0
64, 163, 64, 64, 3, 3, 325402.0, 13499334.0
64, 164, 64, 64, 3, 3, 326141.0, 436416.0
